"Product URL","Product Title","Keyword","sku","Product ID","Sponsored Rank","Organic Rank","Is Top 24 Advertised"
"https://www.ebay.com.au/itm/187196293335","TOPEX 19 Inch Rolling Tool Bag, Multi-pocket Tool Organiser, Large Tool Tote Bag","tool bag","TXRTB48704","187196293335","P1 - 3 / 78","No","Yes"
"https://www.ebay.com.au/itm/187196293335","TOPEX 19 Inch Rolling Tool Bag, Multi-pocket Tool Organiser, Large Tool Tote Bag","tool bag","TXRTB48704","187196293335","P1 - 3 / 78","No","Yes"
"https://www.ebay.com.au/itm/187196293335","TOPEX 19 Inch Rolling Tool Bag, Multi-pocket Tool Organiser, Large Tool Tote Bag","tool tote","TXRTB48704","187196293335","P1 - 2 / 72","No","Yes"
"https://www.ebay.com.au/itm/187196293335","TOPEX 19 Inch Rolling Tool Bag, Multi-pocket Tool Organiser, Large Tool Tote Bag","tool bag heavy duty","TXRTB48704","187196293335","P1 - 2 / 75","No","Yes"
"https://www.ebay.com.au/itm/187196293335","TOPEX 19 Inch Rolling Tool Bag, Multi-pocket Tool Organiser, Large Tool Tote Bag","tool bag with wheels","TXRTB48704","187196293335","P1 - 1 / 69","No","Yes"
"https://www.ebay.com.au/itm/187031698820","TOPEX 4V Cordless Foam Cutter, 3-IN-1 Engraving Kit, Styrofoam Cutting Tool","foam cutter","TXFCK4V264","187031698820","P1 - 13 / 70","P1 - 19 / 70","Yes"
"https://www.ebay.com.au/itm/187031698820","TOPEX 4V Cordless Foam Cutter, 3-IN-1 Engraving Kit, Styrofoam Cutting Tool","foam cutter","TXFCK4V264","187031698820","P1 - 13 / 70","P1 - 19 / 70","Yes"
"https://www.ebay.com.au/itm/187031698820","TOPEX 4V Cordless Foam Cutter, 3-IN-1 Engraving Kit, Styrofoam Cutting Tool","styrofoam cutter","TXFCK4V264","187031698820","P1 - 4 / 62","No","Yes"
"https://www.ebay.com.au/itm/187031698820","No","hot knife foam cutter","TXFCK4V264","187031698820","No","No","No"
"https://www.ebay.com.au/itm/187031698820","TOPEX 4V Cordless Foam Cutter, 3-IN-1 Engraving Kit, Styrofoam Cutting Tool","hot wire foam cutter","TXFCK4V264","187031698820","P1 - 14 / 62","No","Yes"
"https://www.ebay.com.au/itm/187018319975","No","outdoor furniture cover","KYOFC213CM013-Brown","187018319975","No","No","No"
"https://www.ebay.com.au/itm/187018319975","No","outdoor furniture cover","KYOFC213CM013-Brown","187018319975","No","No","No"
"https://www.ebay.com.au/itm/187018319975","No","waterproof outdoor furniture cover","KYOFC213CM013-Brown","187018319975","No","No","No"
"https://www.ebay.com.au/itm/187018319975","KOZYARD Outdoor Patio Furniture Cover Waterproof UV Resistance (Brown)","heavy duty outdoor furniture cover","KYOFC213CM013-Brown","187018319975","P1 - 1 / 69","No","Yes"
"https://www.ebay.com.au/itm/187018319975","No","square outdoor furniture covers waterproof","KYOFC213CM013-Brown","187018319975","No","No","No"
"https://www.ebay.com.au/itm/187018319975","KOZYARD Outdoor Patio Furniture Cover Waterproof UV Resistance (Brown)","outdoor furniture cover square","KYOFC213CM013-Brown","187018319975","P1 - 4 / 62","No","Yes"
"https://www.ebay.com.au/itm/186952636254","No","essential oils","SLEO12P221","186952636254","No","No","No"
"https://www.ebay.com.au/itm/186952636254","No","essential oils","SLEO12P221","186952636254","No","No","No"
"https://www.ebay.com.au/itm/186952636254","No","essential oils set","SLEO12P221","186952636254","No","No","No"
"https://www.ebay.com.au/itm/186952636254","No","diffuser oils","SLEO12P221","186952636254","No","No","No"
"https://www.ebay.com.au/itm/186952631532","Stelive 200ml Ultrasonic Aroma Diffuser and 12Pcs Pure Essential Oils Gift Set","diffuser","SLODEOS222","186952631532","P3 - 59 / 62","No","No"
"https://www.ebay.com.au/itm/186952631532","Stelive 200ml Ultrasonic Aroma Diffuser and 12Pcs Pure Essential Oils Gift Set","diffuser","SLODEOS222","186952631532","P3 - 59 / 62","No","No"
"https://www.ebay.com.au/itm/186952631532","Stelive 200ml Ultrasonic Aroma Diffuser and 12Pcs Pure Essential Oils Gift Set","oil diffuser","SLODEOS222","186952631532","P3 - 32 / 62","No","No"
"https://www.ebay.com.au/itm/186952629545","Stelive 200ML Essential Oil Diffuser, Ultrasonic Aromatherapy Diffuser","diffuser","SLOD02L220","186952629545","No","P1 - 69 / 79","No"
"https://www.ebay.com.au/itm/186952629545","Stelive 200ML Essential Oil Diffuser, Ultrasonic Aromatherapy Diffuser","essential oil diffuser","SLOD02L220","186952629545","P1 - 49 / 79","No","No"
"https://www.ebay.com.au/itm/186952626613","Stelive 2-Piece Auto Salt and Pepper Mill Grinder Set, Electric Shaker Set","salt and pepper grinders","SLAGS2P410","186952626613","P1 - 22 / 70","No","Yes"
"https://www.ebay.com.au/itm/186952626613","Stelive 2-Piece Auto Salt and Pepper Mill Grinder Set, Electric Shaker Set","salt and pepper grinders","SLAGS2P410","186952626613","P1 - 22 / 70","No","Yes"
"https://www.ebay.com.au/itm/186952626613","Stelive 2-Piece Auto Salt and Pepper Mill Grinder Set, Electric Shaker Set","pepper mill","SLAGS2P410","186952626613","P1 - 2 / 70","No","Yes"
"https://www.ebay.com.au/itm/186952626613","No","electric coffee grinder","SLAGS2P410","186952626613","No","No","No"
"https://www.ebay.com.au/itm/186952626613","Stelive 2-Piece Auto Salt and Pepper Mill Grinder Set, Electric Shaker Set","salt and pepper","SLAGS2P410","186952626613","P1 - 1 / 70","No","Yes"
"https://www.ebay.com.au/itm/186952626613","Stelive 2-Piece Auto Salt and Pepper Mill Grinder Set, Electric Shaker Set","electric salt and pepper grinders","SLAGS2P410","186952626613","P1 - 15 / 70","No","Yes"
"https://www.ebay.com.au/itm/186952626613","Stelive 2-Piece Auto Salt and Pepper Mill Grinder Set, Electric Shaker Set","salt and pepper grinders electric","SLAGS2P410","186952626613","P1 - 2 / 70","No","Yes"
"https://www.ebay.com.au/itm/186890399337","TOPEX 18 Inch Tool Backpack, 21 Pockets Tool Bag, Durable Fabric Tool Organiser","tool bag","TXHDTBP703","186890399337","No","P1 - 61 / 78","No"
"https://www.ebay.com.au/itm/186890399337","TOPEX 18 Inch Tool Backpack, 21 Pockets Tool Bag, Durable Fabric Tool Organiser","tool bag backpack","TXHDTBP703","186890399337","P1 - 1 / 70","No","Yes"
"https://www.ebay.com.au/itm/186890399337","TOPEX 18 Inch Tool Backpack, 21 Pockets Tool Bag, Durable Fabric Tool Organiser","backpack tool bag","TXHDTBP703","186890399337","P1 - 1 / 70","No","Yes"
"https://www.ebay.com.au/itm/186890399319","TOPEX 16 Inch Tool Bag, Tool Organiser with Multi-Pockets, Large Tool Tote Bag","tool bag","TXTB16H702","186890399319","P1 - 22 / 78","No","Yes"
"https://www.ebay.com.au/itm/186890399319","TOPEX 16 Inch Tool Bag, Tool Organiser with Multi-Pockets, Large Tool Tote Bag","tool tote","TXTB16H702","186890399319","P1 - 1 / 72","No","Yes"
"https://www.ebay.com.au/itm/186890399319","No","electrician tool bag","TXTB16H702","186890399319","No","No","No"
"https://www.ebay.com.au/itm/186890399319","TOPEX 16 Inch Tool Bag, Tool Organiser with Multi-Pockets, Large Tool Tote Bag","tool tote bag","TXTB16H702","186890399319","P1 - 1 / 67","No","Yes"
"https://www.ebay.com.au/itm/186890399319","TOPEX 16 Inch Tool Bag, Tool Organiser with Multi-Pockets, Large Tool Tote Bag","tool bag heavy duty","TXTB16H702","186890399319","P1 - 4 / 75","No","Yes"
"https://www.ebay.com.au/itm/186890399319","TOPEX 16 Inch Tool Bag, Tool Organiser with Multi-Pockets, Large Tool Tote Bag","tool bag tote","TXTB16H702","186890399319","P1 - 1 / 62","No","Yes"
"https://www.ebay.com.au/itm/186890399319","TOPEX 16 Inch Tool Bag, Tool Organiser with Multi-Pockets, Large Tool Tote Bag","open top tool bag","TXTB16H702","186890399319","P1 - 1 / 62","No","Yes"
"https://www.ebay.com.au/itm/186890399319","TOPEX 16 Inch Tool Bag, Tool Organiser with Multi-Pockets, Large Tool Tote Bag","tote tool bag","TXTB16H702","186890399319","P1 - 1 / 75","No","Yes"
"https://www.ebay.com.au/itm/186890399319","TOPEX 16 Inch Tool Bag, Tool Organiser with Multi-Pockets, Large Tool Tote Bag","heavy duty tool bag","TXTB16H702","186890399319","P1 - 1 / 70","No","Yes"
"https://www.ebay.com.au/itm/186890399308","TOPEX 24 Inch Tool Bag, Tool Organiser with Multi-Pockets, Large Tool Tote Bag","tool bag","TXTB24N701","186890399308","P1 - 4 / 78","No","Yes"
"https://www.ebay.com.au/itm/186890399308","TOPEX 24 Inch Tool Bag, Tool Organiser with Multi-Pockets, Large Tool Tote Bag","tool tote","TXTB24N701","186890399308","P1 - 3 / 72","No","Yes"
"https://www.ebay.com.au/itm/186890399308","No","electrician tool bag","TXTB24N701","186890399308","No","No","No"
"https://www.ebay.com.au/itm/186890399308","TOPEX 24 Inch Tool Bag, Tool Organiser with Multi-Pockets, Large Tool Tote Bag","tool tote bag","TXTB24N701","186890399308","P1 - 3 / 67","No","Yes"
"https://www.ebay.com.au/itm/186890399308","TOPEX 24 Inch Tool Bag, Tool Organiser with Multi-Pockets, Large Tool Tote Bag","tool bag","TXTB24N701","186890399308","P1 - 4 / 78","No","Yes"
"https://www.ebay.com.au/itm/186854942746","Stelive 10 PCs Glass Food Containers, Leakproof Glass Meal Prep Containers","glass containers with lids","SLGC10P107","186854942746","P1 - 2 / 66","No","Yes"
"https://www.ebay.com.au/itm/186854942746","Stelive 10 PCs Glass Food Containers, Leakproof Glass Meal Prep Containers","glass food storage containers","SLGC10P107","186854942746","P1 - 1 / 70","No","Yes"
"https://www.ebay.com.au/itm/186854942746","Stelive 10 PCs Glass Food Containers, Leakproof Glass Meal Prep Containers","glass meal prep containers","SLGC10P107","186854942746","P1 - 2 / 67","No","Yes"
"https://www.ebay.com.au/itm/186854942746","Stelive 10 PCs Glass Food Containers, Leakproof Glass Meal Prep Containers","meal prep containers","SLGC10P107","186854942746","No","P1 - 20 / 70","No"
"https://www.ebay.com.au/itm/186854942746","Stelive 10 PCs Glass Food Containers, Leakproof Glass Meal Prep Containers","glass containers","SLGC10P107","186854942746","P1 - 3 / 69","No","Yes"
"https://www.ebay.com.au/itm/186854942746","Stelive 10 PCs Glass Food Containers, Leakproof Glass Meal Prep Containers","food containers","SLGC10P107","186854942746","P1 - 23 / 78","No","Yes"
"https://www.ebay.com.au/itm/186854942746","Stelive 10 PCs Glass Food Containers, Leakproof Glass Meal Prep Containers","glass food containers","SLGC10P107","186854942746","P1 - 1 / 69","No","Yes"
"https://www.ebay.com.au/itm/186850688517","Stelive 2.5L Humidifier, Top Fill Humidifier, Cool Mist Humidifier for Bedroom","humidifier","SLAH25L210","186850688517","P1 - 1 / 70","No","Yes"
"https://www.ebay.com.au/itm/186850688517","No","aroma diffuser","SLAH25L210","186850688517","No","No","No"
"https://www.ebay.com.au/itm/186850688517","No","essential oil diffuser","SLAH25L210","186850688517","No","No","No"
"https://www.ebay.com.au/itm/186850688517","Stelive 2.5L Humidifier, Top Fill Humidifier, Cool Mist Humidifier for Bedroom","cool mist humidifier","SLAH25L210","186850688517","P1 - 1 / 70","No","Yes"
"https://www.ebay.com.au/itm/186850688517","Stelive 2.5L Humidifier, Top Fill Humidifier, Cool Mist Humidifier for Bedroom","humidifier","SLAH25L210","186850688517","P1 - 1 / 70","No","Yes"
"https://www.ebay.com.au/itm/186850688517","No","air humidifier","SLAH25L210","186850688517","No","No","No"
"https://www.ebay.com.au/itm/186850688410","No","paper towel holder","SLPT11N130","186850688410","No","No","No"
"https://www.ebay.com.au/itm/186850688410","Stelive 11 Inch Tear Towel Holder, One-Handed Roll Holder, Paper Towel Dispenser","tear towel holder","SLPT11N130","186850688410","No","P1 - 1 / 70","No"
"https://www.ebay.com.au/itm/186850688410","Stelive 11 Inch Tear Towel Holder, One-Handed Roll Holder, Paper Towel Dispenser","kitchen roll holder","SLPT11N130","186850688410","P1 - 22 / 76","No","Yes"
"https://www.ebay.com.au/itm/186850688361","Stelive Compact Air Purifier 30 m2 with Aroma, H13 Filter, 3-Stage Filtration","air purifier","SLAP10W202","186850688361","P1 - 2 / 82","No","Yes"
"https://www.ebay.com.au/itm/186850688361","Stelive Compact Air Purifier 30 m2 with Aroma, H13 Filter, 3-Stage Filtration","air purifier","SLAP10W202","186850688361","P1 - 2 / 82","No","Yes"
"https://www.ebay.com.au/itm/186850688361","Stelive Compact Air Purifier 30 m2 with Aroma, H13 Filter, 3-Stage Filtration","air purifiers for the home","SLAP10W202","186850688361","P1 - 2 / 70","No","Yes"
"https://www.ebay.com.au/itm/186850688361","Stelive Compact Air Purifier 30 m2 with Aroma, H13 Filter, 3-Stage Filtration","air purifier home","SLAP10W202","186850688361","P1 - 3 / 67","No","Yes"
